plate,well,site,bf_site,nuclei_count
P015093,B19,s6,s4,42
P015093,B19,s8,s5,110
P015093,C07,s2,s1,79
P015093,C07,s4,s2,108
P015093,C07,s5,s3,113
P015093,C07,s6,s4,125
P015093,C07,s8,s5,144
P015093,D20,s2,s1,95
P015093,D20,s4,s2,147
P015093,D20,s5,s3,102
P015093,D20,s6,s4,143
P015093,D20,s8,s5,261
P015093,I10,s2,s1,175
P015093,I10,s4,s2,154
P015093,I10,s5,s3,141
P015093,I10,s6,s4,194
P015093,I10,s8,s5,119
P015093,J03,s2,s1,65
P015093,J03,s4,s2,35
P015093,J03,s5,s3,39
P015093,J03,s6,s4,125
P015093,J03,s8,s5,51
P015093,M20,s2,s1,110
P015093,M20,s4,s2,151
P015093,M20,s5,s3,89
P015093,M20,s6,s4,61
P015093,M20,s8,s5,91
P015093,I06,s2,s1,160
P015093,I06,s4,s2,136
P015093,I06,s5,s3,182
P015093,I06,s6,s4,190
P015093,I06,s8,s5,148
P015093,B12,s2,s1,0
P015093,B12,s4,s2,0
P015093,B12,s5,s3,0
P015093,B12,s6,s4,0
P015093,B12,s8,s5,0
P015093,D16,s2,s1,109
P015093,D16,s4,s2,148
P015093,D16,s5,s3,158
P015093,D16,s6,s4,163
P015093,D16,s8,s5,290
P015093,E02,s2,s1,0
P015093,E02,s4,s2,0
P015093,E02,s5,s3,0
P015093,E02,s6,s4,0
P015093,E02,s8,s5,0
P015093,E12,s2,s1,104
P015093,E12,s4,s2,181
P015093,E12,s5,s3,195
P015093,E12,s6,s4,196
P015093,E12,s8,s5,245
P015093,F04,s2,s1,100
P015093,F04,s4,s2,111
P015093,F04,s5,s3,124
P015093,F04,s6,s4,168
P015093,F04,s8,s5,137
P015093,F20,s2,s1,123
P015093,F20,s4,s2,235
P015093,F20,s5,s3,153
P015093,F20,s6,s4,143
P015093,F20,s8,s5,155
P015093,G09,s2,s1,131
P015093,G09,s4,s2,188
P015093,G09,s5,s3,206
P015093,G09,s6,s4,256
P015093,G09,s8,s5,195
P015093,H23,s2,s1,113
P015093,H23,s4,s2,183
P015093,H23,s5,s3,73
P015093,H23,s6,s4,75
P015093,H23,s8,s5,81
P015093,I20,s2,s1,219
P015093,I20,s4,s2,269
P015093,I20,s5,s3,245
P015093,I20,s6,s4,175
P015093,I20,s8,s5,167
P015093,K10,s2,s1,167
P015093,K10,s4,s2,148
P015093,K10,s5,s3,171
P015093,K10,s6,s4,145
P015093,K10,s8,s5,84
P015093,L14,s2,s1,0
P015093,L14,s4,s2,0
P015093,L14,s5,s3,1
P015093,L14,s6,s4,0
P015093,L14,s8,s5,0
P015093,M18,s2,s1,276
