plate,compound,mean_C1,std_C1,median_C1,mad_C1,mean_C2,std_C2,median_C2,mad_C2,mean_C3,std_C3,median_C3,mad_C3,mean_C4,std_C4,median_C4,mad_C4,mean_C5,std_C5,median_C5,mad_C5
P015090,CBK289731,228.67854,168.49905,212.0,21.0,475.50806,1046.3148,323.0,34.0,725.20575,369.26816,670.0,49.0,512.2743,428.93265,449.0,37.0,289.12323,398.50958,230.0,23.0
P015090,CBK289737,287.0331,266.34293,220.0,25.0,859.8989,1120.412,417.0,109.0,1291.9633,680.56995,961.0,195.0,907.3542,677.05084,632.0,123.0,573.66187,622.6004,309.0,78.0
P015090,CBK289739,294.11563,270.58594,220.0,25.0,858.0577,1114.4082,406.0,138.0,1307.0753,747.568,902.0,226.0,944.45825,780.65497,604.0,143.0,613.8912,666.03033,331.0,99.0
P015090,CBK289740,226.267,164.37312,209.0,20.0,572.94476,1078.4299,394.0,73.0,817.46014,408.30734,751.0,62.0,570.2733,445.96265,500.0,44.0,295.40204,417.63336,229.0,23.0
P015090,CBK289756,242.21332,360.6473,212.0,21.0,482.61996,899.77057,328.0,48.0,820.85345,324.4055,749.0,63.0,565.43274,322.48157,496.0,46.0,290.9929,238.37157,237.0,26.0
P015090,CBK289839,283.73953,256.65158,218.0,24.0,883.6202,1058.6455,502.0,142.0,1229.5911,681.09314,883.0,171.0,864.5967,685.0321,587.0,112.0,539.66425,576.5094,305.0,73.0
P015090,CBK290181,268.25497,236.29132,217.0,23.0,727.61383,923.37683,413.0,79.0,1085.808,602.0843,815.0,89.0,735.4048,542.48846,535.0,66.0,472.97977,521.1176,278.0,43.0
P015090,CBK290285,295.92783,276.11447,223.0,25.0,850.5477,1102.9333,409.0,120.0,1252.3756,719.2234,878.0,177.0,910.10706,746.486,596.0,122.0,570.8393,611.48975,313.0,82.0
P015090,CBK290479,224.95761,155.03531,210.0,20.0,446.68976,978.01556,313.0,40.0,740.497,370.20847,686.0,52.0,521.8063,427.84158,460.0,39.0,289.68668,383.77332,234.0,23.0
P015090,CBK290481,232.3631,183.52792,213.0,21.0,492.3617,1156.1866,316.0,36.0,797.83795,454.06183,726.0,54.0,563.69037,506.32196,485.0,41.0,311.30515,483.7887,236.0,24.0
P015090,CBK290547,277.6667,245.86557,219.0,24.0,844.6989,1158.2095,401.0,90.0,1148.2056,659.3693,837.0,128.0,812.6218,643.33075,553.0,90.0,548.4314,641.2065,289.0,61.0
